sample_identifier;collection_id;sample_type_id;sample_status_id;country_code;country_origin_code;referent_id;sampling_date;sample_multiple_value;sample_parent_identifier;container_parent_identifier;md_taxon;md_longueur;md_riviere;md_num_individu;uuid
T94675-MON;1;2;1;FR;FR;1;09/09/1999;;T94675;BOITE;TRF;154;Dranse;IL772;bd5ba5a7-b5a9-509b-85a1-e2d23caa0db0
T94676-MON;1;2;1;FR;FR;1;09/09/1999;;T94676;BOITE;TRF;153;Dranse;IL773;30ce7a11-0b10-5fba-a611-cd8ecdd9718b
T94677-MON;1;2;1;FR;FR;1;09/09/1999;;T94677;BOITE;TRF;131;Dranse;IL774;4689241d-93da-5665-8edb-ab231cd7adfd
T94678-MON;1;2;1;FR;FR;1;09/09/1999;;T94678;BOITE;TRF;129;Dranse;IL775;50948d18-3110-5241-8629-a83ef271ed23
T94679-MON;1;2;1;FR;FR;1;09/09/1999;;T94679;BOITE;TRF;104;Dranse;IL776;cdc47392-1904-5c7c-9d0e-15e8df4c5738
T94680-MON;1;2;1;FR;FR;1;09/09/1999;;T94680;BOITE;TRF;122;Dranse;IL777;79eef7ce-6ea5-5731-84ee-9fe8471d0b48
T94681-MON;1;2;1;FR;FR;1;09/09/1999;;T94681;BOITE;TRF;120;Dranse;IL778;4f7dd4fe-0b1f-5925-8be6-78425293f532
T94682-MON;1;2;1;FR;FR;1;09/09/1999;;T94682;BOITE;TRF;100;Dranse;IL779;208f4d94-a69f-5319-a1c3-92e540f62911
T94683-MON;1;2;1;FR;FR;1;09/09/1999;;T94683;BOITE;TRF;112;Dranse;IL780;5c454ed8-74dd-59cc-8f32-d9099a7930c9
T94684-MON;1;2;1;FR;FR;1;07/09/1999;;T94684;BOITE;TRF;267;Dranse;IL293;c5ff20f6-f4b6-577a-a666-0a4d9efcc015
T94685-MON;1;2;1;FR;FR;1;07/09/1999;;T94685;BOITE;TRF;177;Dranse;IL296;f94d2282-36b5-57a2-89cf-cbe8ad5095e5
T94686-MON;1;2;1;FR;FR;1;07/09/1999;;T94686;BOITE;TRF;224;Dranse;IL441;e01b6b22-66b1-586d-94f3-d714038d54dc
T94687-MON;1;2;1;FR;FR;1;07/09/1999;;T94687;BOITE;TRF;263;Dranse;IL442;cbe18458-6711-5d5d-af99-74333d306d37
T94688-MON;1;2;1;FR;FR;1;07/09/1999;;T94688;BOITE;TRF;215;Dranse;IL443;e1e88c88-cbc1-5008-9555-4e44965ad153
T94689-MON;1;2;1;FR;FR;1;07/09/1999;;T94689;BOITE;TRF;203;Dranse;IL444;8f0aec0e-42a7-529c-afce-53290a2ff4dc
T94690-MON;1;2;1;FR;FR;1;07/09/1999;;T94690;BOITE;TRF;167;Dranse;IL452;f67b5754-8ca0-51c7-bffc-c03cb748f4d9
T94691-MON;1;2;1;FR;FR;1;07/09/1999;;T94691;BOITE;TRF;136;Dranse;IL453;61da5c29-1310-50c5-aa3f-dc385bbf060e
T94692-MON;1;2;1;FR;FR;1;07/09/1999;;T94692;BOITE;TRF;165;Dranse;IL454;9dae6035-5fa0-5e6f-9169-b60ae06de249
T94693-MON;1;2;1;FR;FR;1;07/09/1999;;T94693;BOITE;TRF;136;Dranse;IL455;bc3bf383-6be0-54f5-ad1a-4e4749b9bf0b
T94694-MON;1;2;1;FR;FR;1;07/09/1999;;T94694;BOITE;TRF;148;Dranse;IL456;c9c40dde-4d12-5e05-bd0c-a85121337c53
T94695-MON;1;2;1;FR;FR;1;07/09/1999;;T94695;BOITE;TRF;156;Dranse;IL302;239b23bd-80db-50cd-987b-2fec43c6d043
T94696-MON;1;2;1;FR;FR;1;07/09/1999;;T94696;BOITE;TRF;124;Dranse;IL303;59c3cbfa-e890-514a-a283-58b32afe30a3
T94697-MON;1;2;1;FR;FR;1;07/09/1999;;T94697;BOITE;TRF;271;Dranse;IL305;f7254593-e269-5334-8f71-b97b665a3150
T94698-MON;1;2;1;FR;FR;1;07/09/1999;;T94698;BOITE;TRF;183;Dranse;IL330;2fa8c524-b18d-5828-a289-e690296f20f6
T94699-MON;1;2;1;FR;FR;1;07/09/1999;;T94699;BOITE;TRF;210;Dranse;IL331;b2c9f4a3-e237-5b24-8bd1-7b65e5773d41
T94700-MON;1;2;1;FR;FR;1;07/09/1999;;T94700;BOITE;TRF;184;Dranse;IL332;e3961605-7ae3-56a1-bd33-d637f76755ed
T94701-MON;1;2;1;FR;FR;1;07/09/1999;;T94701;BOITE;TRF;156;Dranse;IL333;961156c0-4435-5151-87d1-b6221118d287
T94702-MON;1;2;1;FR;FR;1;07/09/1999;;T94702;BOITE;TRF;180;Dranse;IL334;1294ef2f-a46d-5fe7-b0af-937e64d8b448
T94703-MON;1;2;1;FR;FR;1;07/09/1999;;T94703;BOITE;TRF;121;Dranse;IL316;beedadc8-a323-5fd6-959d-9e1b8eabf920
T94704-MON;1;2;1;FR;FR;1;07/09/1999;;T94704;BOITE;TRF;178;Dranse;IL319;786c9a5e-8310-5deb-afc6-5169be657d85
T94705-MON;1;2;1;FR;FR;1;07/09/1999;;T94705;BOITE;TRF;160;Dranse;IL321;4d56d516-bc51-5f08-8baf-4ff89d7f5d5e
T94706-MON;1;2;1;FR;FR;1;07/09/1999;;T94706;BOITE;TRF;263;Dranse;IL325;ee3182d6-41f4-582c-867f-f2ae0cba0cb2
T94707-MON;1;2;1;FR;FR;1;07/09/1999;;T94707;BOITE;TRF;180;Dranse;IL328;c02da828-d7b3-57cf-a722-bf5f114e1692
T94708-MON;1;2;1;FR;FR;1;07/09/1999;;T94708;BOITE;TRF;233;Dranse;IL322;1334db65-f4a0-572d-813f-96433f7bdb1f
T94709-MON;1;2;1;FR;FR;1;07/09/1999;;T94709;BOITE;TRF;202;Dranse;IL323;bcb17634-9aaf-53ca-bf68-87600ac17411
